portfolio,model_type,factor_model,sample_start,sample_end,n_obs,alpha,sigma_v,sigma_u,lambda,log_likelihood,AIC,BIC,u_hat,AE,AE_median,residual_mean,residual_std,converged,message,runtime_seconds,coef_alpha,coef_mkt_rf,coef_smb,coef_hml,AE_rank
ME2 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00028604637884025266,0.016340570596490567,0.0001020119778520747,0.006242865097622945,3215.340211072369,-6418.680422144738,-6388.175063612151,8.139377635344224e-05,0.9999186095360566,0.9999186057057754,3.518502047977984e-07,0.016347089792883098,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6708220000000438,0.00028604637884025266,0.9686494654201967,0.8292411078928149,0.5838833561003893,1
ME1 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0007901614546955988,0.022030295384716733,0.00010923283379821193,0.004958300916563786,2858.8817135952545,-5705.763427190509,-5675.258068657921,8.71551863990317e-05,0.9999128486115232,0.9999128422952981,5.260577032977321e-07,0.02203973154729727,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6132581999991089,0.0007901614546955988,0.9424277128867289,1.2330633475746073,0.5751745864186102,2
BIG LoBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0010798708451324561,0.011218237598560336,0.00012344103259662582,0.01100360297347128,3664.0016931745554,-7316.003386349111,-7285.498027816523,9.849166952621584e-05,0.9999015131807405,0.9999015075891409,5.305981809461304e-07,0.011222735776056942,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6848312000001897,0.0010798708451324561,1.0309010461081562,-0.14956926720531435,-0.2692830286599577,3
ME3 BM1,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.00107813073875961,0.01984963989951978,0.00012885213264085478,0.006491409078104842,2983.229413551927,-5954.458827103854,-5923.953468571266,0.00010280912149008643,0.9998971961632327,0.9998972012553328,3.0527237209229854e-07,0.01985804752047491,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.7194413999968674,-0.00107813073875961,1.1238415046190036,0.8108866651157759,-0.2183724216099724,4
SMALL HiBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0015127409640439899,0.02442076184591749,0.00013294783056908078,0.005444049264634476,2736.015262124522,-5460.030524249044,-5429.525165716456,0.00010607700055907382,0.9998939286254412,0.9998939181137512,1.822025940527249e-06,0.024430551578125355,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5319694999998319,0.0015127409640439899,0.980348604466653,1.286553560462961,0.8886895130101131,5
ME1 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.001097115105349651,0.029436536000735383,0.000133532249443639,0.004536275920519422,2513.161215859531,-5014.322431719062,-4983.817073186474,0.000106543316130779,0.9998934623594308,0.9998934547431595,4.722214876155134e-07,0.02944838643051927,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5236540999976569,-0.001097115105349651,1.0493143680287251,1.2376396785131485,0.4926348314676441,6
ME2 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00034276602700326073,0.01848380777696808,0.0001538189610697618,0.008321822155142152,3068.229167311961,-6124.458334623922,-6093.952976091335,0.00012272976154907515,0.9998772777695478,0.9998772689560649,4.570121837863056e-07,0.01849223175003696,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6962655000024824,0.00034276602700326073,0.9902036146324653,0.8311410752080023,0.3433343999391855,7
ME3 BM5,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.0005056802889559548,0.02310786377460137,0.00015570278032516814,0.006738086300141093,2801.9253600638167,-5591.850720127633,-5561.345361595046,0.0001242328353203043,0.9998757748813311,0.9998757516554059,4.6734238769102174e-07,0.02311730290080217,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5298588000005111,-0.0005056802889559548,1.1127269493289786,0.5893245427398602,0.8647073419224417,8
ME4 BM1,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0005435072944164975,0.01639166889517764,0.00016153163505574193,0.009854495969184923,3211.6224506864833,-6411.2449013729665,-6380.739542840379,0.00012888359036241742,0.9998711247149373,0.9998711167169068,1.5177013944014248e-07,0.016397765693420094,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6219972000035341,0.0005435072944164975,1.0731409781729688,0.3396177470730092,-0.3290015180265344,9
BIG HiBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.0015227943575379928,0.03424665125245385,0.00016519354093940633,0.00482364070348542,2332.575344797436,-4653.150689594872,-4622.645331062285,0.0001318053683454602,0.9998682033176425,0.9998682018639243,8.419530477607204e-07,0.034261057518664394,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6165636000005179,-0.0015227943575379928,1.1759652733466077,-0.14234751519832006,0.9963849151930898,10
ME4 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,2.3352579103029046e-05,0.016890622978930903,0.00017613616591984586,0.010428044373470141,3175.8553723473183,-6339.710744694637,-6309.205386162049,0.0001405362886469128,0.9998594735863364,0.9998594815307904,9.057801665317377e-07,0.016896756167333313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5651794999939739,2.3352579103029046e-05,1.0287171607034198,0.24140884394269851,0.10624386860551278,11
ME4 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.000328379487952586,0.019876719870562703,0.00017639671509058334,0.008874538467075031,2981.5808437259075,-5951.161687451815,-5920.656328919227,0.00014074418464783163,0.9998592657195117,0.9998592601604787,1.0405130982061654e-06,0.01988524293657958,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6858255000042845,0.000328379487952586,1.034481089450072,0.21448219381285136,0.5662594645681388,12
