portfolio,alpha,alpha_t_stat,alpha_rank,mean_excess_return,volatility,sharpe_like_annualized,r_squared,AE,AE_rank,u_hat,converged,rank_difference,abs_rank_difference,disagreement_case,alpha_ae_spearman,alpha_ae_spearman_p_value
ME3 BM4,0.00036573964494692666,0.7035905071624105,7,0.00998175104777871,0.06921378694553199,0.4995796567774035,0.9343158606532163,0.9905125176765555,22,0.009537848003869065,True,-15,15,True,0.40307692307692305,0.045729575003449416
ME3 BM1,-0.001180649065118579,-2.0288430697453856,18,0.007187382229673092,0.07338331576987119,0.33928451078038085,0.9267695533043344,0.9998971961632327,4,0.00010280912149008643,True,14,14,True,0.40307692307692305,0.045729575003449416
ME1 BM3,-0.0012032903699126189,-1.3943650901266733,19,0.009811825649622798,0.0883664659455506,0.38463868297337733,0.8889408081605101,0.9998934623594308,6,0.000106543316130779,True,13,13,True,0.40307692307692305,0.045729575003449416
ME2 BM5,0.0003124081954515868,0.5637755730862208,8,0.012278278290025146,0.08658545359055926,0.4912280515006102,0.9523037697112564,0.9943209544683694,20,0.005695774997958888,True,-12,12,True,0.40307692307692305,0.045729575003449416
ME3 BM2,0.0008608762830574542,1.7092423681713351,3,0.00899535205364627,0.06471467325152873,0.48151079209895664,0.9294640915256704,0.9998574467029794,14,0.00014256345893463548,True,-11,11,True,0.40307692307692305,0.045729575003449416
ME3 BM3,0.0004293496290336851,0.8353781655284467,5,0.009108378876781224,0.06453128157077569,0.4889465885430916,0.9261318935933296,0.9998440982947997,16,0.00015591385944671698,True,-11,11,True,0.40307692307692305,0.045729575003449416
BIG HiBM,-0.0016537288254573424,-1.6471405825159309,20,0.009696170159262362,0.08445784259650345,0.3976956748684676,0.835438251632391,0.9998682033176425,10,0.0001318053683454602,True,10,10,True,0.40307692307692305,0.045729575003449416
ME2 BM4,0.00020498080346321418,0.42789519796268705,10,0.010301253143336127,0.07422870678531156,0.48073837194796515,0.9514991477209335,0.9999186095360566,1,8.139377635344224e-05,True,9,9,True,0.40307692307692305,0.045729575003449416
ME1 BM2,-0.003963137915535781,-3.3323644566295334,24,0.006691714165968146,0.09639826274129568,0.24046883409694608,0.8227539473249503,0.9998447386003184,15,0.0001552734540376564,True,9,9,True,0.40307692307692305,0.045729575003449416
ME3 BM5,-0.0006293524533463137,-0.929010078750315,17,0.011037944677284158,0.08359193402194266,0.4574192765338368,0.923517889613608,0.9998757748813311,8,0.0001242328353203043,True,9,9,True,0.40307692307692305,0.045729575003449416
SMALL LoBM,-0.006749609404761472,-3.3343399844018755,25,0.0056850360435875946,0.11899699676160495,0.16549613079867548,0.6630176752105428,0.999840327453811,17,0.00015968529522921826,True,8,8,True,0.40307692307692305,0.045729575003449416
ME5 BM3,-0.00031831619997587464,-0.6316545842359029,16,0.007091185247275774,0.055674578374827546,0.4412172841785821,0.9045917550681769,0.9891242405078915,23,0.01094451055566879,True,-7,7,True,0.40307692307692305,0.045729575003449416
ME4 BM3,-0.00012569055252946397,-0.2343565724687754,15,0.008411497066219614,0.06286464843992236,0.4635082084434835,0.9152422117983325,0.9934654805598945,21,0.006556947617196961,True,-6,6,True,0.40307692307692305,0.045729575003449416
