portfolio,model_type,factor_model,sample_start,sample_end,number_of_portfolios,number_of_observations,n_obs,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,converged,runtime_seconds,pipeline_runtime_seconds,residual_mean,residual_std,residual_skewness,residual_kurtosis,jarque_bera_p_value
BIG HiBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2332.575344797436,-4653.150689594872,-4622.645331062285,0.03424665125245385,0.00016519354093940633,0.00482364070348542,True,0.6165636000005179,182.09180029999698,8.419530477607204e-07,0.034261057518664394,1.1297997983865633,14.831104656015913,0.0
BIG LoBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3664.0016931745554,-7316.003386349111,-7285.498027816523,0.011218237598560336,0.00012344103259662582,0.01100360297347128,True,0.6848312000001897,182.09180029999698,5.305981809461304e-07,0.011222735776056942,0.38776380603237043,1.8298311632074142,7.62496054897384e-43
ME1 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2130.5262534073813,-4249.052506814763,-4218.547148282175,0.04056703260706333,0.000194606431190271,0.004797157166392966,True,0.5391309000042384,182.09180029999698,1.4614264124799117e-06,0.04058390842949629,1.5142726630458032,21.635295989350578,0.0
ME1 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2513.161215859531,-5014.322431719062,-4983.817073186474,0.029436536000735383,0.000133532249443639,0.004536275920519422,True,0.5236540999976569,182.09180029999698,4.722214876155134e-07,0.02944838643051927,2.227977863366514,20.78686918833732,0.0
ME1 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2858.8817135952545,-5705.763427190509,-5675.258068657921,0.022030295384716733,0.00010923283379821193,0.004958300916563786,True,0.6132581999991089,182.09180029999698,5.260577032977321e-07,0.02203973154729727,2.0807727269205434,31.35886407970846,0.0
ME2 BM1,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2764.359749570155,-5516.71949914031,-5486.214140607723,0.021883778125219654,0.01574586004668947,0.719522011080133,True,0.3628035000001546,182.09180029999698,-1.1569859582387894e-07,0.02011734152739787,0.6076271998346967,6.471596352989813,0.0
ME2 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3023.742818331873,-6035.485636663746,-6004.980278131158,0.01918745590024926,0.00017844918734301736,0.009300304754873687,True,0.5172004000050947,182.09180029999698,6.905612752371805e-07,0.019194695872022723,1.0565454972465567,11.914158497495709,0.0
ME2 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3068.229167311961,-6124.458334623922,-6093.952976091335,0.01848380777696808,0.0001538189610697618,0.008321822155142152,True,0.6962655000024824,182.09180029999698,4.570121837863056e-07,0.01849223175003696,0.7429767509484146,16.607760887736635,0.0
ME2 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3215.340211072369,-6418.680422144738,-6388.175063612151,0.016340570596490567,0.0001020119778520747,0.006242865097622945,True,0.6708220000000438,182.09180029999698,3.518502047977984e-07,0.016347089792883098,1.6806034962360454,19.18796085955776,0.0
ME2 BM5,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3041.6027826519976,-6071.205565303995,-6040.7002067714075,0.018403485007323,0.007144994483914893,0.388241383687481,True,0.4861492000054568,182.09180029999698,1.8931999629534262e-08,0.017928615466132343,0.4977343389461993,9.995232080069714,0.0
